dataset_id_a,dataset_id_b,dhash_hamming,cross_split,review_decision
stagev3_0005,stagev3_0038,6,1,different_visible_structure_not_duplicate
stagev3_0005,stagev3_0047,4,1,different_visible_structure_not_duplicate
stagev3_0032,stagev3_0075,3,0,different_visible_structure_not_duplicate
stagev3_0033,stagev3_0062,5,0,different_visible_structure_not_duplicate
stagev3_0035,stagev3_0069,5,0,different_visible_structure_not_duplicate
stagev3_0038,stagev3_0065,5,0,different_visible_structure_not_duplicate
stagev3_0046,stagev3_0073,6,0,different_visible_structure_not_duplicate
stagev3_0052,stagev3_0073,6,0,different_visible_structure_not_duplicate
stagev3_0053,stagev3_0095,5,0,different_visible_structure_not_duplicate
stagev3_0061,stagev3_0065,3,0,different_visible_structure_not_duplicate
stagev3_0061,stagev3_0095,6,0,different_visible_structure_not_duplicate
stagev3_0065,stagev3_0073,6,0,different_visible_structure_not_duplicate
stagev3_0074,stagev3_0095,6,0,different_visible_structure_not_duplicate
