clean_id,method,transform,family,base_count,mapped_count,f1,localization_error_bbox_diag
clean_002,cls_to_patch_attention,flip_horizontal,geometric,3,3,1.0,0.03319693132987288
clean_002,cls_to_patch_attention,rotate_10,geometric,3,3,0.6666666666666666,0.017236277214777718
clean_002,cls_to_patch_attention,brightness_075,photometric,3,3,1.0,0.0
clean_002,feature_local_contrast,flip_horizontal,geometric,14,10,0.6666666666666666,0.0023651834259046565
clean_002,feature_local_contrast,rotate_10,geometric,14,15,0.5517241379310344,0.024341069064638423
clean_002,feature_local_contrast,brightness_075,photometric,14,21,0.742857142857143,0.0
clean_002,feature_hdbscan_medoid,flip_horizontal,geometric,2,10,0.0,nan
clean_002,feature_hdbscan_medoid,rotate_10,geometric,2,2,0.0,nan
clean_002,feature_hdbscan_medoid,brightness_075,photometric,2,7,0.0,nan
clean_011,cls_to_patch_attention,flip_horizontal,geometric,2,3,0.4,0.0022844569682215926
clean_011,cls_to_patch_attention,rotate_10,geometric,2,2,0.5,0.03468684455869484
clean_011,cls_to_patch_attention,brightness_075,photometric,2,2,1.0,0.0
clean_011,feature_local_contrast,flip_horizontal,geometric,18,15,0.7878787878787877,0.0022844569682215926
clean_011,feature_local_contrast,rotate_10,geometric,18,12,0.5333333333333333,0.026675913115454798
clean_011,feature_local_contrast,brightness_075,photometric,18,22,0.7999999999999999,0.0
clean_011,feature_hdbscan_medoid,flip_horizontal,geometric,4,4,0.5,0.012935554614473531
clean_011,feature_hdbscan_medoid,rotate_10,geometric,4,4,0.0,nan
clean_011,feature_hdbscan_medoid,brightness_075,photometric,4,5,0.6666666666666665,0.02263722057532868
clean_013,cls_to_patch_attention,flip_horizontal,geometric,2,3,0.8,0.0022151178903544746
clean_013,cls_to_patch_attention,rotate_10,geometric,2,3,0.8,0.007577529394855421
clean_013,cls_to_patch_attention,brightness_075,photometric,2,1,0.6666666666666666,0.0
clean_013,feature_local_contrast,flip_horizontal,geometric,23,22,0.711111111111111,0.0022151178903544746
clean_013,feature_local_contrast,rotate_10,geometric,23,22,0.5333333333333332,0.027706895381089974
clean_013,feature_local_contrast,brightness_075,photometric,23,24,0.9361702127659574,0.0
clean_013,feature_hdbscan_medoid,flip_horizontal,geometric,5,8,0.15384615384615385,0.0015149341675990563
clean_013,feature_hdbscan_medoid,rotate_10,geometric,5,7,0.16666666666666666,0.04388448456143556
clean_013,feature_hdbscan_medoid,brightness_075,photometric,5,5,0.6,0.021209078346386787
clean_014,cls_to_patch_attention,flip_horizontal,geometric,1,1,1.0,0.0020055550585926915
clean_014,cls_to_patch_attention,rotate_10,geometric,1,1,1.0,0.005885865413178709
clean_014,cls_to_patch_attention,brightness_075,photometric,1,1,1.0,0.0
clean_014,feature_local_contrast,flip_horizontal,geometric,11,8,0.8421052631578948,0.0020055550585926915
clean_014,feature_local_contrast,rotate_10,geometric,11,16,0.7407407407407406,0.021820036710736384
clean_014,feature_local_contrast,brightness_075,photometric,11,15,0.846153846153846,0.0
clean_014,feature_hdbscan_medoid,flip_horizontal,geometric,2,2,0.5,0.0014230856963430782
clean_014,feature_hdbscan_medoid,rotate_10,geometric,2,2,0.0,nan
clean_014,feature_hdbscan_medoid,brightness_075,photometric,2,2,1.0,0.0
clean_019,cls_to_patch_attention,flip_horizontal,geometric,4,4,1.0,0.002480198701637897
clean_019,cls_to_patch_attention,rotate_10,geometric,4,3,0.8571428571428571,0.025698912318738058
clean_019,cls_to_patch_attention,brightness_075,photometric,4,4,1.0,0.0
clean_019,feature_local_contrast,flip_horizontal,geometric,13,13,0.6923076923076923,0.002480198701637897
clean_019,feature_local_contrast,rotate_10,geometric,13,17,0.5999999999999999,0.032166374293050366
clean_019,feature_local_contrast,brightness_075,photometric,13,18,0.8387096774193548,0.0
clean_019,feature_hdbscan_medoid,flip_horizontal,geometric,2,2,0.0,nan
clean_019,feature_hdbscan_medoid,rotate_10,geometric,2,2,0.5,0.00444124464665695
clean_019,feature_hdbscan_medoid,brightness_075,photometric,2,2,0.5,0.0
clean_020,cls_to_patch_attention,flip_horizontal,geometric,3,3,1.0,0.0018015093964441802
clean_020,cls_to_patch_attention,rotate_10,geometric,3,2,0.8,0.01772925775337041
clean_020,cls_to_patch_attention,brightness_075,photometric,3,2,0.8,0.0
clean_020,feature_local_contrast,flip_horizontal,geometric,27,29,0.8214285714285715,0.0018015093964441802
clean_020,feature_local_contrast,rotate_10,geometric,27,26,0.6415094339622641,0.012214624781909234
clean_020,feature_local_contrast,brightness_075,photometric,27,25,0.8846153846153846,0.0
clean_020,feature_hdbscan_medoid,flip_horizontal,geometric,7,10,0.3529411764705882,0.0012641972469873022
clean_020,feature_hdbscan_medoid,rotate_10,geometric,7,8,0.39999999999999997,0.03116480641920375
clean_020,feature_hdbscan_medoid,brightness_075,photometric,7,6,0.30769230769230765,0.0
