clean_id,transform,family,base_count,mapped_count,f1,localization_error_bbox_diag
clean_002,flip_horizontal,geometric,14,14,1.0,0.0
clean_002,rotate_10,geometric,14,14,0.9285714285714286,0.009937675669560752
clean_002,brightness_075,photometric,14,13,0.962962962962963,0.0
clean_011,flip_horizontal,geometric,15,14,0.9655172413793104,0.0
clean_011,rotate_10,geometric,15,14,0.9655172413793104,0.007256608690271232
clean_011,brightness_075,photometric,15,15,1.0,0.0
clean_013,flip_horizontal,geometric,19,19,1.0,0.0
clean_013,rotate_10,geometric,19,19,0.7894736842105263,0.007228077762707936
clean_013,brightness_075,photometric,19,20,0.9743589743589743,0.0
clean_014,flip_horizontal,geometric,13,14,0.962962962962963,0.0
clean_014,rotate_10,geometric,13,13,0.7692307692307693,0.013117756876540628
clean_014,brightness_075,photometric,13,13,1.0,0.0
clean_019,flip_horizontal,geometric,14,17,0.9032258064516129,0.0
clean_019,rotate_10,geometric,14,13,0.888888888888889,0.01890503562107787
clean_019,brightness_075,photometric,14,18,0.8750000000000001,0.0
clean_020,flip_horizontal,geometric,17,17,0.8823529411764706,0.0
clean_020,rotate_10,geometric,17,19,0.8333333333333333,0.018079230886399955
clean_020,brightness_075,photometric,17,17,0.8823529411764706,0.0
